player_name;time_played_in_league
Bagiński Adrian;1483
Banaś Franciszek;824
Baranowski Jakub;38
Białooki Norbert;1914
Ciempiel Victor;1897
Dynysiuk Oliwier;37
Dziewa Marcel;1790
Dąbrowski Wojciech;26
Garczyński Filip;1582
Jankowski Dawid;2115
Jawor Milan;765
Jaworski Bartosz;1402
Jemioła Piotr;244
Kapusta Antoni;74
Kazała Paweł;898
Kostrzyński Julian;105
Kołodziejski Filip;595
Kępski Filip;225
Leśniewski Daniel;1858
Pawlak Bartosz;1416
Pietrzak Filip;971
Pustoła Kacper;219
Skrok Maciej;820
Styczeń Michał;488
Szeszel Maciej;22
Szidel Jakub;36
Tutka Tomasz;148
Tyszko Jan;2454
Tyszko Paweł;779
Usarek Maksymilian;715
Wróblewski Beniamin;360
Zabłocki Michał;37
Ziembicki Olivier;820
Ziółkowski Kacper;1286
Zięba Oliwier;1257
