player_name;time_played_in_league
Tyszko Jan;2454
Jankowski Dawid;2115
Białooki Norbert;1914
Ciempiel Victor;1897
Leśniewski Daniel;1858
Dziewa Marcel;1790
Garczyński Filip;1582
Bagiński Adrian;1483
Pawlak Bartosz;1416
Jaworski Bartosz;1402
Ziółkowski Kacper;1286
Zięba Oliwier;1257
Pietrzak Filip;971
Kazała Paweł;898
Banaś Franciszek;824
Skrok Maciej;820
Ziembicki Olivier;820
Tyszko Paweł;779
Jawor Milan;765
Usarek Maksymilian;715
Kołodziejski Filip;595
Styczeń Michał;488
Wróblewski Beniamin;360
Jemioła Piotr;244
Kępski Filip;225
Pustoła Kacper;219
Tutka Tomasz;148
Kostrzyński Julian;105
Kapusta Antoni;74
Baranowski Jakub;38
Zabłocki Michał;37
Dynysiuk Oliwier;37
Szidel Jakub;36
Dąbrowski Wojciech;26
Szeszel Maciej;22
